Title,Company,Career,Rewards
인공지능 MLOps 플랫폼 백엔드 개발자 (자바/5년 이상),텐,경력 5년 이상,합격보상금 100만원
Game Platform Backend Engineer (Java),앤서스랩코리아,경력 5년 이상,합격보상금 100만원
백엔드 개발자 (2~10년),뱅크엑스,경력 2-8년,합격보상금 100만원
Software Engineer (Back-end) - 10년 이상,샵라이브,경력 10년 이상,합격보상금 100만원
개발팀 매쓰플랫 백엔드 개발자 (7년차 이상),프리윌린,경력 7년 이상,합격보상금 100만원
"풀스텍 개발 ＜5년차 이상＞(JAVA, VUE)  (5년차 이상 )",아이알큐더스,경력 5-15년,합격보상금 100만원
Payment Backend Engineer (Python),앤서스랩코리아,경력 5년 이상,합격보상금 100만원
웹 프론트엔드 개발자 (5년차 이상),뉴스젤리(Newsjelly),경력 5년 이상,합격보상금 100만원
인공지능 MLOps 플랫폼 백엔드 개발자 (자바/5년 이상),텐,경력 5년 이상,합격보상금 100만원
Game Platform Backend Engineer (Java),앤서스랩코리아,경력 5년 이상,합격보상금 100만원
백엔드 개발자 (2~10년),뱅크엑스,경력 2-8년,합격보상금 100만원
Software Engineer (Back-end) - 10년 이상,샵라이브,경력 10년 이상,합격보상금 100만원
개발팀 매쓰플랫 백엔드 개발자 (7년차 이상),프리윌린,경력 7년 이상,합격보상금 100만원
"풀스텍 개발 ＜5년차 이상＞(JAVA, VUE)  (5년차 이상 )",아이알큐더스,경력 5-15년,합격보상금 100만원
Payment Backend Engineer (Python),앤서스랩코리아,경력 5년 이상,합격보상금 100만원
웹 프론트엔드 개발자 (5년차 이상),뉴스젤리(Newsjelly),경력 5년 이상,합격보상금 100만원
"Software Engineer, Backend - 커머스플랫폼",놀유니버스,경력 5년 이상,합격보상금 100만원
AI서비스 백엔드 개발자(주니어),스콘에이아이(SconAI),경력 1-4년 · 계약직,합격보상금 20만원
[WIPPY JAPAN] 백엔드(Kotlin) 개발자,엔라이즈(NRISE),경력 3년 이상,합격보상금 100만원
PG정산 개발자(3년이상),이오스시스템,신입,합격보상금 100만원
백엔드 개발자(5년 이상),레디포스트,경력 5-10년,합격보상금 100만원
백엔드 개발자(3년~5년),바운드포,경력 3-5년,합격보상금 100만원
[아파트너] 플랫폼파트 백엔드 파트리더,두꺼비세상,경력 7년 이상,합격보상금 100만원
[에누리개발본부] 검색엔진 개발,커넥트웨이브,경력 5-12년,합격보상금 100만원
BizOps Software Engineer (8년 차 이상),와드(캐치테이블),경력 8년 이상,합격보상금 100만원
클라우드 플랫폼  프로젝트 개발,이노그리드,경력 3년 이상,합격보상금 100만원
AI 플랫폼 개발 풀스택,비전스페이스,경력 1-20년,합격보상금 100만원
통합 물류 자동화 시스템 Back-End 개발자,알티올,경력 3-10년,합격보상금 100만원
AI Agent 개발 리더,빅스데이터,경력 5년 이상,합격보상금 100만원
JAVA 풀스택 서비스 개발 및 운영 정규직,리스타,경력 6년 이상,합격보상금 100만원
"Software Engineer, Backend - 전자금융개발",놀유니버스,경력 5년 이상,합격보상금 100만원
Sr. Backend Engineer (Go/Java),센트비(Sentbe),경력 6년 이상,합격보상금 100만원
JAVA / 전자정부 프레임워크 웹시스템 개발자(중급 or 고급),프로지스트,경력 5-10년,합격보상금 100만원
Java Server 개발자,아하랩스,경력 4년 이상,합격보상금 100만원
웹 백엔드 개발자 (5년차 이상),뉴스젤리(Newsjelly),경력 5년 이상,합격보상금 100만원
Backend Engineer(5년 이상),비에이치에스엔,경력 5년 이상,합격보상금 100만원
Software Engineer(Full-stack - Backend Focus),알세미,경력 5년 이상,합격보상금 100만원
[미리디] 시니어 데이터 엔지니어,미리디,경력 5-10년,합격보상금 100만원
Staff Software Engineer (7년 이상),스푼랩스,경력 7년 이상,합격보상금 100만원
Software Engineer(Full-stack - Frontend Focus),알세미,경력 5년 이상,합격보상금 100만원
WEB 개발자 native 모바일 신분증 개발,파킹스루,경력 5-6년 · 계약직,합격보상금 20만원
[Data] Software Engineer (3년 이상),클럼엘,경력 3년 이상,합격보상금 100만원
Senior Backend Engineer/Backend Lead,오엔제이,경력 10-17년,합격보상금 100만원
[Product/Backend] Software Engineer (3년 이상),클럼엘,경력 3년 이상,합격보상금 100만원
프론트엔드 개발자(5년이상),다이퀘스트,경력 5년 이상,합격보상금 100만원
[MUST-A] 백엔드 개발자,머스트핀테크,경력 1-3년,합격보상금 100만원
[개발본부] 웹 풀스택 개발자(5년 이상),빅밸류,경력 5년 이상,합격보상금 100만원
전기차충전업 백엔드 엔지니어,플러그링크,경력 5-8년,합격보상금 100만원
"Software Engineer, Backend - 레저개발",놀유니버스,경력 5년 이상,합격보상금 100만원
[다나와개발본부] Search Engineer (5년 이상),커넥트웨이브,경력 5-13년,합격보상금 100만원
"Java, C++, Python 기반 CAD/CAE SaaS 개발자",메크랩,경력 3년 이상,합격보상금 100만원
Web Full Stack 개발자,디메타,경력 5년 이상,합격보상금 100만원
백엔드&프론트엔드 개발자 (개발자센터 담당),원스토어,경력 7-15년,합격보상금 100만원
JAVA 개발자 (5년이상),플랫브레드,경력 5년 이상,합격보상금 100만원
JAVA 개발자 (10년 이상),플랫브레드,경력 10년 이상,합격보상금 100만원
"백엔드 개발자 Java, .NET, Qt/C++ 등",아이알엠,경력 3-8년,합격보상금 100만원
자바기반 PL급 풀스택 개발자,헬스커넥트,경력 7년 이상,합격보상금 100만원
시니어 백엔드 개발자,핀다(FINDA),경력 8-12년,합격보상금 100만원
WTS 서버개발자(시니어),카카오페이증권(kakaopay증권),경력 6년 이상,합격보상금 100만원
클라우드 인프라 엔지니어(DevOps),아키스케치,경력 3-10년,합격보상금 100만원
백엔드 시니어 개발자 (8년~15년),웰로,경력 8-15년,합격보상금 100만원
MLOps 엔지니어,카카오모빌리티(kakaomobility),경력 5년 이상,합격보상금 100만원
Java 백엔드 리드 개발자 (5~10년),후플렉스,경력 5-10년,합격보상금 100만원
"[자사 웹/앱 플랫폼] 백엔드 개발자 (자바, springboot 4년 이상)",아인잡(AINJOB),경력 4-10년,합격보상금 100만원
반도체·스마트팩토리 물류 제어 S/W 백엔드개발자,주밍코리아,경력 10년 이상,합격보상금 100만원
[병역특례] Android 개발자(산업기능요원/보충역/전직),페이타랩(패스오더),신입-경력 10년,합격보상금 100만원
Ranking & Recommendation Tech Team Leader,여기어때컴퍼니,경력 5-15년,합격보상금 100만원
[판교] 백엔드 JAVA 개발자,와따에이아이,경력 5년 이상,합격보상금 100만원
"데이터 온톨로지 엔지니어 (병특 전문연구요원 Only, 석사이상)",코넥시오에이치,신입,합격보상금 100만원
농업분야 플랫폼 구축 PM/PL,에피넷,경력 5년 이상,합격보상금 100만원
[미리캔버스] 시니어 백엔드 개발자 (검색엔진),미리디,경력 6-12년,합격보상금 100만원
[연구·개발] 백엔드 개발_사이버보안 테스트 솔루션 (7년 이상),아우토크립트,경력 7년 이상,합격보상금 100만원
Back-end Engineer,그립랩스,경력 3-10년,합격보상금 100만원
Casino Platform Java Backend Developer,앤서스랩코리아,경력 3년 이상,합격보상금 100만원
ML Software Engineer (HYPERCONNECT AI),하이퍼커넥트,경력 3-15년,합격보상금 100만원
aOS 개발자 native 모바일 신분증 개발,파킹스루,경력 5-6년 · 계약직,합격보상금 20만원
백엔드 개발자 (Java/팀장급),이파피루스,경력 7-15년,합격보상금 100만원
Senior Software Quality Engineer - AI,Electronic Arts Korea (EA Korea),경력 7년 이상,합격보상금 100만원
Search Engineer (검색 플랫폼 개발),티맵모빌리티,경력 5년 이상,합격보상금 100만원
블록체인 서비스 백엔드 개발자,람다256,경력 5-10년,합격보상금 100만원
ML Software Engineering Team Leader,하이퍼커넥트,경력 5-15년,합격보상금 100만원
Java 백엔드 개발자(대리~과장급),메인라인,경력 5년 이상,합격보상금 100만원
Data Engineer (Streaming),뤼튼테크놀로지스,경력 3년 이상,합격보상금 100만원
"[기업부설연구소] 플랫폼 개발팀장 [JAVA, SPRINGBOOT5+]",아인잡(AINJOB),경력 7-17년,합격보상금 100만원
데이터 엔지니어,위버스컴퍼니(WEVERSE COMPANY),경력 3년,합격보상금 100만원
[라이브클래스] Data Engineer,퓨쳐스콜레,경력 5년 이상,합격보상금 100만원
IVI OS Engineer (Vehicle System),포티투닷(42dot),경력 5년 이상,합격보상금 100만원
"java, vue.js 개발자 (6년 이상/계약직)",마니테크,경력 6년 이상 · 계약직,합격보상금 20만원
서버 테크 리드 (Server Tech Lead),뱅크샐러드,경력 5-10년,합격보상금 100만원
보안 제품 기획/설계,와탭랩스(WhaTapLabs),경력 5-20년,합격보상금 100만원
검색엔진 엔지니어 (3년 이상),워트인텔리전스,경력 3-15년,합격보상금 100만원
IVI OS Engineer (Vehicle Service),포티투닷(42dot),경력 5년 이상,합격보상금 100만원
사업개발 Full stack Developer,오케스트로,경력 10-15년,합격보상금 100만원
물류기기통합관리시스템 개발 PM,농협물류,경력 5-10년 · 계약직,합격보상금 20만원
데이터 엔지니어,핵클(Hackle),경력 5-20년,합격보상금 100만원
JAVA 개발자 (3년 이상),오토위니,경력 3-10년,합격보상금 100만원
Backend Engineer(신사업),자비스앤빌런즈(삼쩜삼),경력 5년 이상,합격보상금 100만원
IaaS 플랫폼 개발,이노그리드,경력 3년 이상,합격보상금 100만원
소프트웨어 엔지니어,아티스트컴퍼니,신입-경력 5년,합격보상금 100만원
호텔(B2B) 시스템 Back-end 개발,트립비토즈(tripbtoz),경력 2-7년,합격보상금 100만원
멀티 클라우드 관리 플랫폼 개발,이노그리드,경력 3년 이상,합격보상금 100만원
[미리캔버스] 백엔드 개발자,미리디,경력 1-5년,합격보상금 100만원
Back-end Engineer (New Fintech Product),쿠팡,경력 6년 이상,합격보상금 100만원
Software Engineer (Backend),레브잇,경력 2년 이상,합격보상금 100만원
Java 백엔드 개발자 (3~5년),후플렉스,경력 3-5년,합격보상금 100만원
Spring 백엔드 개발자,마스터웨이,경력 2-3년,합격보상금 100만원
백엔드 개발자 (5년 이하),워트인텔리전스,경력 2-5년,합격보상금 100만원
Software Engineer (Back-end) - 3년 이상,샵라이브,경력 3년 이상,합격보상금 100만원
보안 솔루션 개발자(백앤드 서버개발),아이씨티케이,경력 4-10년,합격보상금 100만원
백엔드 개발(주니어) 담당,미니쉬테크놀로지,경력 3-6년,합격보상금 100만원
SaaS개발부 웹서버개발자,마드라스체크,신입,합격보상금 100만원
[엔터프라이즈 사업 부문] BackEnd Developer,에버엑스,경력 3년 이상,합격보상금 100만원
백엔드 개발자,아치서울,경력 3-5년,합격보상금 100만원
자바기반 풀스택 개발자,헬스커넥트,경력 3년 이상,합격보상금 100만원
백엔드 개발자 (2년 ~ 5년),다니엘프로젝트,경력 2-5년,합격보상금 100만원
백엔드 개발자,트레바리(TREVARI),경력 7-15년,합격보상금 100만원
[글로벌 앱 플랫폼] 유틸리티 앱 Back-end 개발자 (3년 이상),티니어,경력 3년 이상,합격보상금 100만원
백엔드 개발자,하나투어,경력 5-10년,합격보상금 100만원
풀스택 개발자,스페이스,경력 3년 이상,합격보상금 100만원
Java 풀스택 개발자(3년~7년),에피넷,경력 3-7년,합격보상금 100만원
시니어 백엔드 개발자,스마트푸드네트웍스,경력 9년 이상,합격보상금 100만원
Backend 개발 포지션,디어유,경력 5-7년,합격보상금 100만원
[Mnet Plus] 백엔드 개발,씨제이이엔엠(CJ ENM),경력 3년 이상,합격보상금 100만원
Software Engineer (Backend)_신입,테크타카(ARGO),신입-경력 2년,합격보상금 100만원
Backend Software Engineer,가우디오랩,경력 3-8년,합격보상금 100만원
백엔드 개발자 (3년 이상),라텔앤드파트너즈,경력 3-5년,합격보상금 100만원
[Tech] Server(그로스프로덕트),우아한형제들(배달의민족),경력 5년 이상,합격보상금 100만원
Backend Engineer (Java/Kotlin),센트비(Sentbe),경력 4년 이상,합격보상금 100만원
Java(Spring) 백엔드 개발자 (3~7년),펄송,경력 3-7년,합격보상금 100만원
Staff Back-end Engineer (Eats Customer),쿠팡,경력 7-20년,합격보상금 100만원
배달파트 Back-end Engineer (JAVA),바로고(barogo),경력 5-10년,합격보상금 100만원
백엔드 Java/SpringBoot 개발자 (3년 이상),빅스데이터,경력 3-8년,합격보상금 100만원
"시니어 풀스텍  개발 [JAVA, ORACLE, VUE]",아이알큐더스,경력 4년 이상,합격보상금 100만원
Back-end Engineer(Core Banking),피에프씨테크놀로지스,경력 3년 이상,합격보상금 100만원
"[인턴] 풀스택 개발자 (nextjs,spring boot)",런업,신입 · 인턴,합격보상금 100만원
[연구·개발] 사이버보안 테스트 솔루션 개발,아우토크립트,신입 이상,합격보상금 100만원
BizOps Software Engineer (3년 차 이상),와드(캐치테이블),경력 3년 이상,합격보상금 100만원
백엔드 개발자,스마트푸드네트웍스,경력 5년 이상,합격보상금 100만원
코어플랫폼유닛 Back-end 개발자,씨제이올리브영(CJ올리브영),경력 4년 이상,합격보상금 100만원
[다나와개발본부] Backend Engineer (4년 이하),커넥트웨이브,신입-경력 4년,합격보상금 100만원
백엔드 개발자 (3~7년차),스튜디오랩(STUDIO LAB),경력 3년 이상,합격보상금 100만원
백엔드 개발자 (Java/팀원),이파피루스,경력 3-15년,합격보상금 100만원
[굿뉴스에너지] Backend Engineer (Java),식스티헤르츠,경력 6년 이상,합격보상금 100만원
Java 백엔드 개발자,와디즈,경력 5년 이상,합격보상금 100만원
백엔드개발 (어카운트),위버스컴퍼니(WEVERSE COMPANY),경력 5-15년,합격보상금 100만원
Back-End Engineer,아임웹,경력 2년 이상,합격보상금 100만원
백엔드 개발자,에이피알,경력 2-5년,합격보상금 100만원
스마트빌 JAVA 개발자 (부장급),비즈니스온커뮤니케이션,경력 14년 이상,합격보상금 100만원
테이블로 백엔드 개발자,소프트먼트,경력 3-10년,합격보상금 100만원
Server Engineer [항공플랫폼개발],여기어때컴퍼니,경력 4-10년,합격보상금 100만원
웹 크롤러 개발자 (데이터 엔지니어),에스투더블유(S2W),신입-경력 6년,합격보상금 100만원
[Front-end Engineer] 프론트엔드(웹/앱) 엔지니어,디에이그라운드,경력 3년 이상,합격보상금 100만원
시니어 백엔드 엔지니어 (5~8년차),하이노크,경력 5-10년,합격보상금 100만원
여행서비스 백엔드 개발자,마이리얼트립,경력 5년 이상,합격보상금 100만원
풀필먼트 백엔드 개발자,컬리,경력 5년 이상,합격보상금 100만원
[플랫폼개발팀] Java 개발자,델레오코리아(deleo),경력 5-8년,합격보상금 100만원
Backend Engineer(Backend 리더 / 12년 이상),비에이치에스엔,경력 12년 이상,합격보상금 100만원
[Tech] Java Backend Developer - 정산시스템 운영/개발,위대한상상(요기요),경력 5-10년,합격보상금 100만원
백엔드 개발자,케이티밀리의서재,경력 5년 이상,합격보상금 100만원
Backend Engineer,휴머스온,경력 3-15년,합격보상금 100만원
[Spring Boot] Backend 개발자,와이즈에이아이,경력 2-5년,합격보상금 100만원
SRE 백엔드 개발자,빗썸,경력 3년 이상,N/A
통합 검색 개발자,에이엑스지(axz),경력 2년 이상,합격보상금 100만원
유가증권 권리업무 서버개발자,카카오페이증권(kakaopay증권),경력 5년 이상,합격보상금 100만원
[CEB그룹/끌리메] 피플팀(HR팀) 리쿠르팅 매니저,끌리메,경력 3-5년,합격보상금 100만원
Server Engineer: 결제/정산,라포랩스,경력 5년 이상,합격보상금 100만원
백엔드 개발자 (3년 이상),프레쉬아워,경력 5년 이상,합격보상금 100만원
[Tech] Server(푸드주문시스템),우아한형제들(배달의민족),경력 7년 이상,합격보상금 100만원
JAVA 기반 웹 풀스택 개발자,세포아소프트,신입-경력 10년,합격보상금 100만원
[Tech] Java Backend Developer (5년이상),위대한상상(요기요),경력 5년 이상,합격보상금 100만원
Backend 개발자,콘텐츠웨이브(wavve),경력 5-12년,합격보상금 100만원
[다나와개발본부] Backend Engineer (4년 이상),커넥트웨이브,경력 4-15년,합격보상금 100만원
[제타] 백엔드 엔지니어,스캐터랩(Scatterlab),경력 3-10년,합격보상금 100만원
백엔드 개발자 (3년 이상),에이엠랩스,경력 3년 이상,합격보상금 100만원
"Software Engineer, Backend - 엔터BE",놀유니버스,경력 4년 이상,합격보상금 100만원
백엔드 개발자,씨디알아이(CDRI),경력 3-8년,합격보상금 100만원
[미리캔버스] 시니어 백엔드 개발자,미리디,경력 6-12년,합격보상금 100만원
IT사업 개발팀장,개념원리,경력 7-17년,합격보상금 100만원
풀리팀 백엔드 개발자 (3~5년),프리윌린,경력 3-5년,합격보상금 100만원
Backend Software Engineer,번개장터,경력 4년 이상,합격보상금 100만원
Backend Engineer (광고/인플루언서),무신사,경력 5년 이상,합격보상금 100만원
Backend Engineer - 서비스백엔드,티맵모빌리티,경력 4년 이상,합격보상금 100만원
Backend Software Engineer,스트라드비젼(STRADVISION),경력 5년 이상,합격보상금 100만원
[라이브클래스] 정산 서비스 개발 Back-end Engineer,퓨쳐스콜레,경력 5년 이상,합격보상금 100만원
JavaScript SDK Engineer,데이터라이즈,경력 1년 이상,합격보상금 100만원
[Tech] Server(배민공통서비스),우아한형제들(배달의민족),경력 7년 이상,합격보상금 100만원
플랫폼 백엔드 개발자,넷마블,경력 5년 이상,합격보상금 100만원
"자율주행 시스템 개발(안드로이드, JAVA, Kotlin)",크래블,경력 3-15년,합격보상금 100만원
AOS & React Native 개발자,해빗팩토리,경력 1-5년,합격보상금 100만원
JAVA 개발자,헬스커넥트,경력 5-15년,합격보상금 100만원
Backend Developer (5-12년),크몽(kmong),경력 5-12년,합격보상금 100만원
Backend Server 개발,세나클,경력 3-15년,합격보상금 100만원
Android 개발자,페이타랩(패스오더),신입-경력 10년,합격보상금 100만원
Backend Developer (3년이상),루먼랩,경력 3-5년,합격보상금 100만원
Backend Engineer - 대리서비스,티맵모빌리티,경력 5년 이상,합격보상금 100만원
Software Engineer - AI Agent,티맵모빌리티,경력 5년 이상,합격보상금 100만원
결제/정산 시스템 BackEnd Developer,와드(캐치테이블),경력 5년 이상,합격보상금 100만원
[Tech] Server(정산플랫폼),우아한형제들(배달의민족),경력 7년 이상,합격보상금 100만원
[Tech] Server(CS프로덕트),우아한형제들(배달의민족),경력 7-20년,합격보상금 100만원
백엔드 개발자(아키텍처팀),케이티밀리의서재,경력 5-10년,합격보상금 100만원
백엔드 엔지니어,클래스101(Class101),경력 5년 이상,합격보상금 100만원
보안 솔루션 백엔드 개발,아이씨티케이,경력 5-10년,합격보상금 100만원
Backend Engineer (29CM/커머스코어),무신사,경력 8년 이상,합격보상금 100만원
[AI TF] Back-End Engineer,한국신용데이터(KCD),경력 2-5년,합격보상금 100만원
Client Engineer (Android),티맵모빌리티,경력 5-15년,합격보상금 100만원
BackEnd Engineer (JAVA),에이치투오호스피탈리티,경력 8-12년,합격보상금 100만원
시니어 Java 백엔드 개발자,트리플콤마(골드스푼),경력 7-15년,합격보상금 100만원
커머스 백엔드 개발자,컬리,경력 6년 이상,합격보상금 100만원
Data Engineer,소크라에이아이,신입 이상,합격보상금 100만원
[제품 본부] 주니어 백엔드 개발자 (전문연구요원 가능),매드업,경력 1-4년,합격보상금 100만원
스포츠용품 플랫폼 Front/Admin 개발자,에이제이코퍼레이션,경력 4-8년,합격보상금 100만원
데이터/ML엔지니어,씨제이올리브영(CJ올리브영),경력 5-15년,합격보상금 100만원
Server/Infra/Web Engineer,라이트뷰,경력 1년 이상,합격보상금 100만원
Back-end 시니어 개발자,오픈플랜,경력 7년 이상,합격보상금 100만원
백엔드 개발자 - 서비스 (Senior),트래블월렛,경력 6-12년,합격보상금 100만원
[라이브클래스] Back-end Engineer,퓨쳐스콜레,경력 5년 이상,합격보상금 100만원
Data Engineer(실험/분석 플랫폼),비바리퍼블리카(토스),신입,합격보상금 100만원
"Software Engineer, Backend - Security Platform",놀유니버스,경력 5년 이상,합격보상금 100만원
개발팀 Tech Innovation 워킹그룹 풀스택 개발자 (8년 이상),프리윌린,경력 8년 이상,합격보상금 100만원
안드로이드 개발자,알앤원(RN1),경력 4-8년,합격보상금 100만원
데이터 엔지니어,마이리얼트립,경력 1년 이상,합격보상금 100만원
Backend Engineer (29CM/커스터머인게이지먼트),무신사,경력 7년 이상,합격보상금 100만원
Android 개발자,팀블라인드세일즈앤마케팅코리아,경력 5-8년,합격보상금 100만원
Cloud Backend Engineer,한화비전,경력 4-10년,합격보상금 100만원
JAVA 개발자 (2~3년),오토위니,경력 2-3년,합격보상금 100만원
[인텔리전스랩스] 인증/세션 서비스 백엔드 개발자 (Java),넥슨코리아(NEXON),경력 8-13년,합격보상금 100만원
